For epsilon =  0.25
 Theta 	      r
 145 	  996.02588
 146 	  993.98688
 147 	  992.00800
 148 	  990.08917
 149 	  988.23029
 150 	  986.43134
 151 	  984.69220
 152 	  983.01282
 153 	  981.39307
 154 	  979.83301
 155 	  978.33240
 156 	  976.89136
 157 	  975.50964
 158 	  974.18732
 159 	  972.92426
 160 	  971.72040
 161 	  970.57568
 162 	  969.49005
 163 	  968.46344
 164 	  967.49585
 165 	  966.58710
 166 	  965.73730
 167 	  964.94629
 168 	  964.21405
 169 	  963.54059
 170 	  962.92578
 171 	  962.36969
 172 	  961.87219
 173 	  961.43329
 174 	  961.05298
 175 	  960.73120
 176 	  960.46796
 177 	  960.26318
 178 	  960.11700
 179 	  960.02924
 180 	  960.00000
 181 	  960.02924
 182 	  960.11700
 183 	  960.26318
 184 	  960.46796
 185 	  960.73120
 186 	  961.05298
 187 	  961.43329
 188 	  961.87219
 189 	  962.36969
 190 	  962.92578
 191 	  963.54059
 192 	  964.21411
 193 	  964.94629
 194 	  965.73730
 195 	  966.58716
 196 	  967.49585
 197 	  968.46344
 198 	  969.49005
 199 	  970.57568
 200 	  971.72040
 201 	  972.92426
 202 	  974.18732
 203 	  975.50964
 204 	  976.89136
 205 	  978.33240
 206 	  979.83301
 207 	  981.39307
 208 	  983.01282
 209 	  984.69220
 210 	  986.43140
 211 	  988.23035
 212 	  990.08917
 213 	  992.00806
 214 	  993.98688
 215 	  996.02588
 216 	  998.12500
 217 	 1000.28436
 218 	 1002.50403
 219 	 1004.78406
 220 	 1007.12451
 221 	 1009.52539
 222 	 1011.98682
 223 	 1014.50885
 224 	 1017.09143
 225 	 1019.73468
 226 	 1022.43860
 227 	 1025.20325
 228 	 1028.02869
 229 	 1030.91479
 230 	 1033.86169
 231 	 1036.86926
 232 	 1039.93762
 233 	 1043.06677
 234 	 1046.25647
 235 	 1049.50696
 236 	 1052.81787
 237 	 1056.18945
 238 	 1059.62158
 239 	 1063.11401
 240 	 1066.66675
 241 	 1070.27954
 242 	 1073.95239
 243 	 1077.68530
 244 	 1081.47791
 245 	 1085.32996
 246 	 1089.24146
 247 	 1093.21204
 248 	 1097.24158
 249 	 1101.32971
 250 	 1105.47620
 251 	 1109.68079
 252 	 1113.94312
 253 	 1118.26294
 254 	 1122.63965
 255 	 1127.07300
 256 	 1131.56250
 257 	 1136.10791
 258 	 1140.70837
 259 	 1145.36365
 260 	 1150.07300
 261 	 1154.83594
 262 	 1159.65198
 263 	 1164.52026
 264 	 1169.44006
 265 	 1174.41089
 266 	 1179.43176
 267 	 1184.50208
 268 	 1189.62073
 269 	 1194.78711
 270 	 1200.00000
 271 	 1205.25867
 272 	 1210.56213
 273 	 1215.90906
 274 	 1221.29834
 275 	 1226.72913
 276 	 1232.20007
 277 	 1237.70984
 278 	 1243.25708
 279 	 1248.84045
 280 	 1254.45862
 281 	 1260.11023
 282 	 1265.79333
 283 	 1271.50671
 284 	 1277.24866
 285 	 1283.01733
 286 	 1288.81128
 287 	 1294.62830
 288 	 1300.46667
 289 	 1306.32446
 290 	 1312.19971
 291 	 1318.09045
 292 	 1323.99426
 293 	 1329.90930
 294 	 1335.83313
 295 	 1341.76343
 296 	 1347.69812
 297 	 1353.63440
 298 	 1359.56982
 299 	 1365.50220
 300 	 1371.42859
 301 	 1377.34656
 302 	 1383.25317
 303 	 1389.14575
 304 	 1395.02148
 305 	 1400.87769
 306 	 1406.71106
 307 	 1412.51880
 308 	 1418.29785
 309 	 1424.04517
 310 	 1429.75769
 311 	 1435.43213
 312 	 1441.06531
 313 	 1446.65393
 314 	 1452.19482
 315 	 1457.68481
 316 	 1463.12024
 317 	 1468.49792
 318 	 1473.81445
 319 	 1479.06641
 320 	 1484.25049
 321 	 1489.36316
 322 	 1494.40100
 323 	 1499.36072
 324 	 1504.23877
 325 	 1509.03162
 326 	 1513.73608
 327 	 1518.34863
 328 	 1522.86584
 329 	 1527.28467
 330 	 1531.60156
 331 	 1535.81311
 332 	 1539.91638
 333 	 1543.90808
 334 	 1547.78503
 335 	 1551.54419
 336 	 1555.18250
 337 	 1558.69702
 338 	 1562.08496
 339 	 1565.34363
 340 	 1568.46997
 341 	 1571.46155
 342 	 1574.31580
 343 	 1577.03040
 344 	 1579.60303
 345 	 1582.03125
 346 	 1584.31311
 347 	 1586.44653
 348 	 1588.42969
 349 	 1590.26086
 350 	 1591.93835
 351 	 1593.46057
 352 	 1594.82642
 353 	 1596.03455
 354 	 1597.08374
 355 	 1597.97314
 356 	 1598.70190
 357 	 1599.26941
 358 	 1599.67517
 359 	 1599.91882
