For epsilon =  0.25
 Theta 	      r
   0 	 1600.00000
   1 	 1599.91882
   2 	 1599.67517
   3 	 1599.26941
   4 	 1598.70190
   5 	 1597.97302
   6 	 1597.08362
   7 	 1596.03442
   8 	 1594.82642
   9 	 1593.46057
  10 	 1591.93823
  11 	 1590.26086
  12 	 1588.42969
  13 	 1586.44653
  14 	 1584.31299
  15 	 1582.03125
  16 	 1579.60291
  17 	 1577.03040
  18 	 1574.31580
  19 	 1571.46155
  20 	 1568.46985
  21 	 1565.34351
  22 	 1562.08496
  23 	 1558.69702
  24 	 1555.18250
  25 	 1551.54419
  26 	 1547.78503
  27 	 1543.90808
  28 	 1539.91638
  29 	 1535.81311
  30 	 1531.60144
  31 	 1527.28455
  32 	 1522.86584
  33 	 1518.34851
  34 	 1513.73596
  35 	 1509.03162
  36 	 1504.23865
  37 	 1499.36072
  38 	 1494.40100
  39 	 1489.36316
  40 	 1484.25049
  41 	 1479.06641
  42 	 1473.81433
  43 	 1468.49780
  44 	 1463.12012
  45 	 1457.68469
  46 	 1452.19482
  47 	 1446.65393
  48 	 1441.06519
  49 	 1435.43201
  50 	 1429.75757
  51 	 1424.04517
  52 	 1418.29785
  53 	 1412.51880
  54 	 1406.71094
  55 	 1400.87756
  56 	 1395.02148
  57 	 1389.14575
  58 	 1383.25317
  59 	 1377.34644
  60 	 1371.42859
  61 	 1365.50208
  62 	 1359.56982
  63 	 1353.63428
  64 	 1347.69800
  65 	 1341.76343
  66 	 1335.83301
  67 	 1329.90918
  68 	 1323.99426
  69 	 1318.09033
  70 	 1312.19971
  71 	 1306.32434
  72 	 1300.46655
  73 	 1294.62817
  74 	 1288.81116
  75 	 1283.01733
  76 	 1277.24866
  77 	 1271.50671
  78 	 1265.79333
  79 	 1260.11011
  80 	 1254.45862
  81 	 1248.84033
  82 	 1243.25696
  83 	 1237.70972
  84 	 1232.19995
  85 	 1226.72913
  86 	 1221.29834
  87 	 1215.90894
  88 	 1210.56201
  89 	 1205.25867
  90 	 1200.00000
  91 	 1194.78699
  92 	 1189.62073
  93 	 1184.50195
  94 	 1179.43176
  95 	 1174.41089
  96 	 1169.44006
  97 	 1164.52014
  98 	 1159.65186
  99 	 1154.83594
 100 	 1150.07300
 101 	 1145.36353
 102 	 1140.70837
 103 	 1136.10779
 104 	 1131.56250
 105 	 1127.07300
 106 	 1122.63965
 107 	 1118.26294
 108 	 1113.94312
 109 	 1109.68079
 110 	 1105.47620
 111 	 1101.32971
 112 	 1097.24158
 113 	 1093.21204
 114 	 1089.24133
 115 	 1085.32996
 116 	 1081.47778
 117 	 1077.68530
 118 	 1073.95251
 119 	 1070.27954
 120 	 1066.66663
 121 	 1063.11401
 122 	 1059.62146
 123 	 1056.18945
 124 	 1052.81787
 125 	 1049.50684
 126 	 1046.25647
 127 	 1043.06665
 128 	 1039.93762
 129 	 1036.86926
 130 	 1033.86169
 131 	 1030.91479
 132 	 1028.02869
 133 	 1025.20325
 134 	 1022.43860
 135 	 1019.73468
 136 	 1017.09137
 137 	 1014.50879
 138 	 1011.98676
 139 	 1009.52539
 140 	 1007.12445
 141 	 1004.78400
 142 	 1002.50403
 143 	 1000.28430
 144 	  998.12500
