For epsilon =  0.50
 Theta 	      r
 301 	 1616.20337
 302 	 1632.56360
 303 	 1649.07556
 304 	 1665.73303
 305 	 1682.53003
 306 	 1699.45850
 307 	 1716.51123
 308 	 1733.68005
 309 	 1750.95618
 310 	 1768.33081
 311 	 1785.79297
 312 	 1803.33264
 313 	 1820.93860
 314 	 1838.59912
 315 	 1856.30212
 316 	 1874.03369
 317 	 1891.78040
 318 	 1909.52795
 319 	 1927.26123
 320 	 1944.96497
 321 	 1962.62207
 322 	 1980.21570
 323 	 1997.72839
 324 	 2015.14246
 325 	 2032.43811
 326 	 2049.59619
 327 	 2066.59717
 328 	 2083.42041
 329 	 2100.04517
 330 	 2116.44971
 331 	 2132.61255
 332 	 2148.51172
 333 	 2164.12451
 334 	 2179.42920
 335 	 2194.40186
 336 	 2209.02026
 337 	 2223.26147
 338 	 2237.10278
 339 	 2250.52148
 340 	 2263.49487
 341 	 2276.00024
 342 	 2288.01660
 343 	 2299.52173
 344 	 2310.49561
 345 	 2320.91675
 346 	 2330.76636
 347 	 2340.02539
 348 	 2348.67578
 349 	 2356.70093
 350 	 2364.08423
 351 	 2370.81152
 352 	 2376.86841
 353 	 2382.24316
 354 	 2386.92432
 355 	 2390.90186
 356 	 2394.16797
 357 	 2396.71533
 358 	 2398.53882
 359 	 2399.63452
