 (m)      (n)       Wavelength(W)
 25       14        260362.46875
 25       15        320554.68750
 25       16        395360.43750
 25       17        490160.34375
 25       18        613420.25000
 25       19        779260.87500
 25       20       1013111.12500
 25       21       1365841.75000
 25       22       1956166.62500
 25       23       3140248.75000
 25       24       6698938.50000
 26        1           913.15082
 26        2          3668.90942
 26        3          8316.92871
 26        4         14942.46777
 26        5         23670.38281
 26        6         34671.19531
 26        7         48169.79688
 26        8         64457.70312
 26        9         83910.11719
 26       10        107009.85938
 26       11        134381.25000
 26       12        166838.82812
 26       13        205458.93750
 26       14        251687.18750
 26       15        307505.06250
 26       16        375696.34375
 26       17        460291.71875
 26       18        567346.81250
 26       19        706387.37500
 26       20        893299.68750
 26       21       1156690.12500
 26       22       1553783.12500
 26       23       2218117.75000
 26       24       3550330.25000
 26       25       7553637.00000
 27        1           913.05249
 27        2          3667.32251
 27        3          8308.77734
 27        4         14916.17773
 27        5         23604.48047
 27        6         34529.98438
 27        7         47897.65625
 27        8         63971.33984
 27        9         83087.77344
 27       10        105676.02344
 27       11        132284.48438
 27       12        163619.00000
 27       13        200597.62500
 27       14        244430.82812
 27       15        296742.06250
 27       16        359754.25000
 27       17        436588.50000
 27       18        531761.75000
 27       19        652058.37500
 27       20        808148.56250
 27       21       1017825.25000
 27       22       1313126.00000
 27       23       1758137.25000
 27       24       2502408.25000
 27       25       3994604.50000
 27       26       8478088.00000
 28        1           912.96448
 28        2          3665.90356
 28        3          8301.49805
 28        4         14892.73340
 28        5         23545.82227
 28        6         34404.60156
 28        7         47656.74609
 28        8         63542.32812
 28        9         82365.50000
 28       10        104510.40625
 28       11        130463.03906
 28       12        160841.51562
 28       13        196438.78125
 28       14        238283.73438
 28       15        287730.81250
 28       16        346594.53125
 28       17        417357.56250
 28       18        503503.87500
 28       19        610073.93750
 28       20        744636.68750
 28       21        919094.37500
 28       22       1153293.25000
 28       23       1482965.75000
 28       24       1979587.87500
 28       25       2809949.75000
 28       26       4474439.00000
 28       27       9475028.00000
 29        1           912.88544
 29        2          3664.62988
 29        3          8294.96875
 29        4         14871.73438
 29        5         23493.37500
 29        6         34292.74219
 29        7         47442.38281
 29        8         63161.80469
 29        9         81727.27344
 29       10        103484.99219
 29       11        128869.00000
 29       12        158425.57812
 29       13        192847.04688
 29       14        233019.32812
 29       15        280089.84375
 29       16        335567.34375
 29       17        401471.15625
 29       18        480562.68750
 29       19        576715.37500
 29       20        695531.81250
 29       21        845423.25000
 29       22       1039615.43750
 29       23       1300159.62500
 29       24       1666756.62500
 29       25       2218818.75000
 29       26       3141653.75000
 29       27       4991201.50000
 29       28      10547190.00000
 30        1           912.81421
 30        2          3663.48218
 30        3          8289.09082
 30        4         14852.85059
 30        5         23446.28516
 30        6         34192.50000
 30        7         47250.73828
 30        8         62822.58203
 30        9         81160.21875
 30       10        102577.50000
 30       11        127464.71875
 30       12        156308.56250
 30       13        189719.26562
 30       14        228468.06250
 30       15        273540.00000
 30       16        326209.18750
 30       17        388149.21875
 30       18        461598.75000
 30       19        549617.50000
 30       20        656496.00000
 30       21        788438.81250
 30       22        954759.81250
 30       23       1170102.37500
 30       24       1458880.00000
 30       25       1865045.37500
 30       26       2476514.00000
 30       27       3498432.50000
 30       28       5546259.00000
 30       29      11697312.00000
 31        1           912.74976
 31        2          3662.44434
 31        3          8283.77930
 31        4         14835.80566
 31        5         23403.83984
 31        6         34102.30469
 31        7         47078.67188
 31        8         62518.78125
 31        9         80653.89062
 31       10        101770.00781
 31       11        126220.25781
 31       12        154441.28125
 31       13        186975.40625
 31       14        224500.65625
 31       15        267872.21875
 31       16        318180.68750
 31       17        376835.28125
 31       18        445685.53125
 31       19        527204.25000
 31       20        624769.87500
 31       21        743118.75000
 31       22        889098.62500
 31       23       1072988.12500
 31       24       1310945.75000
 31       25       1629910.37500
 31       26       2078379.25000
 31       27       2753357.00000
 31       28       3881197.75000
 31       29       6140980.50000
 31       30      12928128.00000
 32        1           912.69128
 32        2          3661.50269
 32        3          8278.96387
 32        4         14820.36816
 32        5         23365.44531
 32        6         34020.84375
 32        7         46923.56641
 32        8         62245.54688
 32        9         80199.71875
 32       10        101047.96094
 32       11        125111.47656
 32       12        152784.51562
 32       13        184552.57812
 32       14        221016.79688
 32       15        262927.06250
 32       16        311227.71875
 32       17        367121.68750
 32       18        432161.93750
 32       19        508385.56250
 32       20        598514.87500
 32       21        706268.06250
 32       22        836856.81250
 32       23        997814.93750
 32       24       1200449.75000
 32       25       1462536.37500
 32       26       1813706.37500
 32       27       2307305.25000
 32       28       3050031.75000
 32       29       4290861.00000
 32       30       6776733.00000
 32       31      14242374.00000
 33        1           912.63806
 33        2          3660.64575
 33        3          8274.58496
 33        4         14806.33984
 33        5         23330.59570
 33        6         33947.01562
 33        7         46783.23047
 33        8         61998.83984
 33        9         79790.64062
 33       10        100399.41406
 33       11        124118.77344
 33       12        151306.68750
 33       13        182400.62500
 33       14        217937.56250
 33       15        258580.78125
 33       16        305156.37500
 33       17        358703.25000
 33       18        420543.59375
 33       19        492383.28125
 33       20        576458.75000
 33       21        675757.75000
 33       22        794360.12500
 33       23        937983.31250
 33       24       1114891.50000
 33       25       1337486.75000
 33       26       1625264.75000
 33       27       2010724.12500
 33       28       2552370.25000
 33       29       3367222.25000
 33       30       4728334.00000
